      DE/eV    lambda/nm    diff_rate        +/-error
      2.4847   4.9899E+02   1.91872168E-10   1.38086371E-10
      2.4897   4.9799E+02   1.62631402E-10   1.15526853E-10
      2.4947   4.9699E+02   1.40750743E-10   9.65153233E-11
      2.4997   4.9600E+02   1.26293415E-10   8.44020029E-11
      2.5047   4.9501E+02   1.18666078E-10   8.15148768E-11
      2.5097   4.9402E+02   1.16627418E-10   8.68881965E-11
      2.5147   4.9304E+02   1.18415544E-10   9.67909723E-11
      2.5197   4.9206E+02   1.21978231E-10   1.07415006E-10
      2.5247   4.9108E+02   1.25264749E-10   1.16048525E-10
      2.5297   4.9011E+02   1.26521983E-10   1.21000198E-10
      2.5347   4.8915E+02   1.24534854E-10   1.21396545E-10
      2.5397   4.8818E+02   1.18762869E-10   1.17075916E-10
      2.5447   4.8723E+02   1.09348739E-10   1.08499309E-10
      2.5497   4.8627E+02   9.70052480E-11   9.66134469E-11
      2.5547   4.8532E+02   8.28143716E-11   8.26578202E-11
      2.5597   4.8437E+02   6.79901626E-11   6.79455500E-11
      2.5647   4.8343E+02   5.36592579E-11   5.36620331E-11
      2.5697   4.8249E+02   4.07008155E-11   4.07194324E-11
      2.5747   4.8155E+02   2.96664194E-11   2.96868840E-11
      2.5797   4.8061E+02   2.07777495E-11   2.07948488E-11
      2.5847   4.7969E+02   1.39824990E-11   1.39950723E-11
      2.5897   4.7876E+02   9.04093705E-12   9.04946180E-12
      2.5947   4.7784E+02   5.61666360E-12   5.62210015E-12
      2.5997   4.7692E+02   3.35255754E-12   3.35585065E-12
      2.6047   4.7600E+02   1.92267086E-12   1.92457523E-12
      2.6097   4.7509E+02   1.05940835E-12   1.06046266E-12
      2.6147   4.7418E+02   5.60855433E-13   5.61415102E-13
      2.6197   4.7328E+02   2.85277284E-13   2.85562399E-13
      2.6247   4.7237E+02   1.39415788E-13   1.39555248E-13
      2.6297   4.7148E+02   6.54613730E-14   6.55268881E-14
      2.6347   4.7058E+02   2.95315727E-14   2.95611371E-14
      2.6397   4.6969E+02   1.28001871E-14   1.28130036E-14
      2.6447   4.6880E+02   5.33057808E-15   5.33591599E-15
      2.6497   4.6792E+02   2.13285111E-15   2.13498701E-15
      2.6547   4.6704E+02   8.19926649E-16   8.20747773E-16
      2.6597   4.6616E+02   3.02843105E-16   3.03146396E-16
      2.6647   4.6528E+02   1.07470335E-16   1.07577965E-16
      2.6697   4.6441E+02   3.66427228E-17   3.66794203E-17
      2.6747   4.6354E+02   1.20036989E-17   1.20157206E-17
      2.6797   4.6268E+02   3.77807585E-18   3.78185959E-18
