      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      2.8092   4.4135E+02       0.07355424       0.07362791
      2.8142   4.4057E+02       0.08004947       0.08012964
      2.8192   4.3979E+02       0.08370257       0.08378640
      2.8242   4.3901E+02       0.08409085       0.08417506
      2.8292   4.3823E+02       0.08116863       0.08124992
      2.8342   4.3746E+02       0.07527613       0.07535152
      2.8392   4.3669E+02       0.06707427       0.06714145
      2.8442   4.3592E+02       0.05742278       0.05748028
      2.8492   4.3515E+02       0.04723261       0.04727992
      2.8542   4.3439E+02       0.03732753       0.03736492
      2.8592   4.3363E+02       0.02834303       0.02837141
      2.8642   4.3288E+02       0.02067724       0.02069795
      2.8692   4.3212E+02       0.01449335       0.01450786
      2.8742   4.3137E+02       0.00976055       0.00977032
      2.8792   4.3062E+02       0.00631552       0.00632185
      2.8842   4.2987E+02       0.00392621       0.00393014
      2.8892   4.2913E+02       0.00234514       0.00234748
      2.8942   4.2839E+02       0.00134583       0.00134718
      2.8992   4.2765E+02       0.00074207       0.00074281
      2.9042   4.2691E+02       0.00039312       0.00039352
      2.9092   4.2618E+02       0.00020010       0.00020030
      2.9142   4.2545E+02       0.00009785       0.00009795
      2.9192   4.2472E+02       0.00004598       0.00004602
      2.9242   4.2399E+02       0.00002076       0.00002078
      2.9292   4.2327E+02       0.00000900       0.00000901
      2.9342   4.2255E+02       0.00000375       0.00000376
      2.9392   4.2183E+02       0.00000150       0.00000150
      2.9442   4.2111E+02       0.00000058       0.00000058
      2.9492   4.2040E+02       0.00000021       0.00000021
      2.9542   4.1969E+02       0.00000008       0.00000008
      2.9592   4.1898E+02       0.00000003       0.00000003
      2.9642   4.1827E+02       0.00000001       0.00000001
      2.9692   4.1757E+02       0.00000000       0.00000000
