      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      3.3347   3.7180E+02       1.84166743       0.37155533
      3.3397   3.7124E+02       1.76103239       0.36154845
      3.3447   3.7069E+02       1.68350074       0.35215422
      3.3497   3.7014E+02       1.61069480       0.34389354
      3.3547   3.6958E+02       1.54380639       0.33696645
      3.3597   3.6903E+02       1.48343997       0.33130082
      3.3647   3.6849E+02       1.42954934       0.32666313
      3.3697   3.6794E+02       1.38146998       0.32275723
      3.3747   3.6739E+02       1.33802622       0.31928997
      3.3797   3.6685E+02       1.29768559       0.31601189
      3.3847   3.6631E+02       1.25874086       0.31272802
      3.3897   3.6577E+02       1.21951151       0.30926152
      3.3947   3.6523E+02       1.17856219       0.30537544
      3.3997   3.6469E+02       1.13492905       0.30070501
      3.4047   3.6416E+02       1.08832690       0.29477317
      3.4097   3.6362E+02       1.03928946       0.28712840
      3.4147   3.6309E+02       0.98918354       0.27757696
      3.4197   3.6256E+02       0.94004730       0.26643024
      3.4247   3.6203E+02       0.89423751       0.25466849
      3.4297   3.6150E+02       0.85392502       0.24391297
      3.4347   3.6098E+02       0.82053552       0.23608983
      3.4397   3.6045E+02       0.79427291       0.23274200
      3.4447   3.5993E+02       0.77386620       0.23422411
      3.4497   3.5941E+02       0.75663903       0.23931550
      3.4547   3.5889E+02       0.73892224       0.24558292
      3.4597   3.5837E+02       0.71673508       0.25021009
      3.4647   3.5785E+02       0.68658094       0.25077419
      3.4697   3.5733E+02       0.64616556       0.24570944
      3.4747   3.5682E+02       0.59486368       0.23446246
      3.4797   3.5631E+02       0.53382873       0.21742333
      3.4847   3.5580E+02       0.46573675       0.19571353
      3.4897   3.5529E+02       0.39424916       0.17090249
      3.4947   3.5478E+02       0.32334115       0.14471609
      3.4997   3.5427E+02       0.25665682       0.11878665
      3.5047   3.5377E+02       0.19702224       0.09447331
      3.5097   3.5326E+02       0.14618770       0.07276080
      3.5147   3.5276E+02       0.10480382       0.05422979
      3.5197   3.5226E+02       0.07258330       0.03908402
      3.5247   3.5176E+02       0.04857135       0.02721658
      3.5297   3.5126E+02       0.03144649       0.01829799
      3.5347   3.5076E+02       0.01979009       0.01187043
      3.5397   3.5027E+02       0.01228983       0.00743942
      3.5447   3.4977E+02       0.00786738       0.00458029
      3.5497   3.4928E+02       0.00573871       0.00314946
      3.5547   3.4879E+02       0.00542391       0.00339685
      3.5597   3.4830E+02       0.00672377       0.00513726
