DE/eV lambda/nm sigma/A^2 +/-error/A^2
3.2170 3.8540E+02 1.85484425 0.35723481
3.2220 3.8481E+02 1.73576950 0.34004642
3.2270 3.8421E+02 1.62460659 0.32361910
3.2320 3.8361E+02 1.52593597 0.30940140
3.2370 3.8302E+02 1.44346081 0.29851220
3.2420 3.8243E+02 1.37955657 0.29150341
3.2470 3.8184E+02 1.33501121 0.28830792
3.2520 3.8126E+02 1.30896383 0.28841664
3.2570 3.8067E+02 1.29901117 0.29116397
3.2620 3.8009E+02 1.30144000 0.29591802
3.2670 3.7950E+02 1.31155347 0.30206481
3.2720 3.7892E+02 1.32407623 0.30885217
3.2770 3.7835E+02 1.33363122 0.31526431
3.2820 3.7777E+02 1.33526989 0.32006268
3.2870 3.7720E+02 1.32501129 0.32200184
3.2920 3.7662E+02 1.30031695 0.32012097
3.2970 3.7605E+02 1.26041444 0.31398725
3.3020 3.7548E+02 1.20639599 0.30380792
3.3070 3.7491E+02 1.14105819 0.29038599
3.3120 3.7435E+02 1.06850363 0.27494297
3.3170 3.7378E+02 0.99357611 0.25886776
3.3220 3.7322E+02 0.92123073 0.24347558
3.3270 3.7266E+02 0.85594102 0.22985923
3.3320 3.7210E+02 0.80122130 0.21886543
3.3370 3.7154E+02 0.75930533 0.21114013
3.3420 3.7099E+02 0.73098724 0.20712866
3.3470 3.7043E+02 0.71560783 0.20696959
3.3520 3.6988E+02 0.71116203 0.21035831
3.3570 3.6933E+02 0.71450821 0.21651969
3.3620 3.6878E+02 0.72166832 0.22432830
3.3670 3.6823E+02 0.72821192 0.23247812
3.3720 3.6769E+02 0.72971075 0.23960052
3.3770 3.6714E+02 0.72223296 0.24432806
3.3820 3.6660E+02 0.70282376 0.24537109
3.3870 3.6606E+02 0.66989952 0.24165656
3.3920 3.6552E+02 0.62347866 0.23251459
3.3970 3.6498E+02 0.56519019 0.21784656
3.4020 3.6444E+02 0.49804105 0.19820278
3.4070 3.6391E+02 0.42597613 0.17472952
3.4120 3.6338E+02 0.35331458 0.14899267
3.4170 3.6285E+02 0.28417474 0.12272572
3.4220 3.6231E+02 0.22199895 0.09757229
3.4270 3.6179E+02 0.16925649 0.07490071
3.4320 3.6126E+02 0.12735219 0.05577693
3.4370 3.6073E+02 0.09671453 0.04121511
3.4420 3.6021E+02 0.07699906 0.03272126
3.4470 3.5969E+02 0.06732976 0.03192547
